frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle,,,,7,
0,445.2312794,174.6058303,1380.056454,6.060132039,0.234207731,22.49884796,3948,,0,3,,,,,
0,475.7100016,127.835924,1214.365785,5.258224461,0.085229681,20.21082952,3898,,0,4,,,,,
0,487.0054107,43.42859485,1162.88537,6.968860069,0.035385412,21.35483874,3662,,0,7,,,,,
0,509.3322238,264.0131558,1202.925693,5.250561337,0.055780675,20.40149773,3921,,0,8,,,,,
0,515.116077,68.20779019,1228.6659,6.118768128,0.121194134,20.97350234,3788,,0,9,,,,,
0,547.0318149,113.05235,1318.470624,5.691794909,0.083346263,22.11751155,4058,,0,11,,,,,
0,587.5250038,50.92628059,1254.406108,7.060570033,0.182866161,16.58813367,3777,,0,14,,,,,
0,613.1395349,136.7618544,1262.604841,6.490834092,0.026748718,17.35080648,3645,,0,15,,,,,
0,733.4000325,138.2506914,1172.037444,5.300456868,0.124233712,22.30817976,4195,,0,25,,,,,
0,738.4694427,47.74231476,1556.805878,8.473379662,0.726032967,16.39746546,4678,,0,26,,,,,
0,611.9748983,215.3619408,1359.654956,6.620489352,0.160419989,20.97350234,3925,,0,27,,,,,
0,393.5424996,148.0546075,1173.181453,6.598341571,0.02841714,17.35080648,3739,,0,28,,,,,
0,577.4408554,179.5276685,3004.549544,8.044851426,0.463699882,24.21486179,7552,,0,29,,,,,
0,103.2040684,235.4414356,1471.577191,5.310762467,0.215149045,18.6854839,4112,,0,35,,,,,
0,161.8949531,224.3663799,1484.733297,7.034770274,0.172305584,17.92281109,4394,,0,38,,,,,
0,208.3523293,262.5212423,1301.501154,6.36147438,0.042475539,16.39746546,3977,,0,42,,,,,
0,56.30186581,89.01606326,1543.077767,6.028342384,0.12558556,21.73617515,4597,,0,45,,,,,
0,257.5693769,106.8055363,1646.229265,4.694278648,0.069197647,26.69354843,4492,,0,49,,,,,
0,305.769252,140.7583299,1379.103113,5.215672073,0.102726093,22.88018437,4416,,0,54,,,,,
0,336.8488626,160.9139326,1743.470049,8.309868539,0.67542083,21.73617515,5133,,0,56,,,,,
0,338.0515256,235.1974669,1324.762675,5.377435317,0.134785605,16.39746546,4230,,0,57,,,,,
1,509.3322238,264.0131558,1202.925693,5.250561337,0.055780675,20.40149773,3921,,1,8,,,,,
1,515.116077,68.20779019,1228.6659,6.118768128,0.121194134,20.97350234,3788,,1,9,,,,,
1,547.0318149,113.05235,1318.470624,5.691794909,0.083346263,22.11751155,4058,,1,11,,,,,
1,487.0054107,43.42859485,1162.88537,6.968860069,0.035385412,21.35483874,3662,,1,7,,,,,
1,475.7100016,127.835924,1214.365785,5.258224461,0.085229681,20.21082952,3898,,1,4,,,,,
1,445.2312794,174.6058303,1380.056454,6.060132039,0.234207731,22.49884796,3948,,1,3,,,,,
1,577.4408554,179.5276685,3004.549544,8.044851426,0.463699882,24.21486179,7552,,1,29,,,,,
1,611.9748983,215.3619408,1359.654956,6.620489352,0.160419989,20.97350234,3925,,1,27,,,,,
1,613.1395349,136.7618544,1262.604841,6.490834092,0.026748718,17.35080648,3645,,1,15,,,,,
1,733.4000325,138.2506914,1172.037444,5.300456868,0.124233712,22.30817976,4195,,1,25,,,,,
1,738.4694427,47.74231476,1556.805878,8.473379662,0.726032967,16.39746546,4678,,1,26,,,,,
1,587.5250038,50.92628059,1254.406108,7.060570033,0.182866161,16.58813367,3777,,1,14,,,,,
1,393.5424996,148.0546075,1173.181453,6.598341571,0.02841714,17.35080648,3739,,1,28,,,,,
1,56.30186581,89.01606326,1543.077767,6.028342384,0.12558556,21.73617515,4597,,1,45,,,,,
1,103.2040684,235.4414356,1471.577191,5.310762467,0.215149045,18.6854839,4112,,1,35,,,,,
1,161.8949531,224.3663799,1484.733297,7.034770274,0.172305584,17.92281109,4394,,1,38,,,,,
1,208.3523293,262.5212423,1301.501154,6.36147438,0.042475539,16.39746546,3977,,1,42,,,,,
1,338.0515256,235.1974669,1324.762675,5.377435317,0.134785605,16.39746546,4230,,1,57,,,,,
1,336.8488626,160.9139326,1743.470049,8.309868539,0.67542083,21.73617515,5133,,1,56,,,,,
1,305.769252,140.7583299,1379.103113,5.215672073,0.102726093,22.88018437,4416,,1,54,,,,,
